14:43:01.394 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='JournalApp', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@35c4697c]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.xbfvqsk.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-rnyek2-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
14:43:03.420 [cluster-ClusterId{value='6844029d81432663e10453b1', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=423050000, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000034, setVersion=7, topologyVersion=TopologyVersion{processId=684350a180637c50588a1b3c, counter=6}, lastWriteDate=Sat Jun 07 14:44:39 IST 2025, lastUpdateTimeNanos=98211196175500}
14:43:03.417 [cluster-rtt-ClusterId{value='6844029d81432663e10453b1', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:14083}] to ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017
14:43:03.418 [cluster-ClusterId{value='6844029d81432663e10453b1', description='null'}-ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=435797200, setName='atlas-rnyek2-shard-0', canonicalAddress=ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017, hosts=[ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017, ac-wlcyg2u-shard-00-02.xbfvqsk.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=684353bfd1dbd19de5a60f46, counter=3}, lastWriteDate=Sat Jun 07 14:44:39 IST 2025, lastUpdateTimeNanos=98211195658800}
14:43:03.418 [cluster-rtt-ClusterId{value='6844029d81432663e10453b1', description='null'}-ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:17336}] to ac-wlcyg2u-shard-00-00.xbfvqsk.mongodb.net:27017
14:43:03.433 [cluster-ClusterId{value='6844029d81432663e10453b1', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000034 from replica set primary ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:43:03.433 [cluster-ClusterId{value='6844029d81432663e10453b1', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 7 from replica set primary ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:43:03.433 [cluster-ClusterId{value='6844029d81432663e10453b1', description='null'}-ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:43:03.761 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:17578}] to ac-wlcyg2u-shard-00-01.xbfvqsk.mongodb.net:27017
14:43:04.465 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1b31af02, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2bb31455, org.springframework.security.web.context.SecurityContextPersistenceFilter@350ff014, org.springframework.security.web.header.HeaderWriterFilter@41f785e3, org.springframework.security.web.authentication.logout.LogoutFilter@6bb4cc0e, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4a9b3956, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f866f50, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3b28b7b0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3c16528d, org.springframework.security.web.session.SessionManagementFilter@1aedf08d, org.springframework.security.web.access.ExceptionTranslationFilter@57b9389f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1002d192]
14:43:05.110 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
